HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"6b Hoang Van Thu Vila Ha noi pho,  Vietnam",7,78,,Vietnamese,Coffee & Villa Ha Noi Pho,,Vietnam,"Vietnam,,","Which popular attractions are close to Coffee & Villa Ha Noi Pho?, ,What are some of the property amenities at Coffee & Villa Ha Noi Pho?, ,Which room amenities are available at Coffee & Villa Ha Noi Pho?, ,What food & drink options are available at Coffee & Villa Ha Noi Pho?, ,Is parking available at Coffee & Villa Ha Noi Pho?, ,What are some restaurants close to Coffee & Villa Ha Noi Pho?, ,Does Coffee & Villa Ha Noi Pho have airport transportation?, ,Is Coffee & Villa Ha Noi Pho located near the city center?, ,Are pets allowed at Coffee & Villa Ha Noi Pho?, ",,0,,0,,37,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13314516-Reviews-Coffee_Villa_Ha_Noi_Pho-Da_Lat_Lam_Dong_Province.html
"100 Hoang Dieu,  Vietnam",24,90,,,Room 1,,Vietnam,"Vietnam,,","Which popular attractions are close to Room 1?, ,What are some restaurants close to Room 1?, ,Is Room 1 located near the city center?, ",,0,,0,,117,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d17697391-Reviews-Room_1-Da_Lat_Lam_Dong_Province.html
"116 Hung Vuong c_nh h_m Da Chi_n,  Vietnam",89,36,,,Go Muc homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to Go Muc homestay?, ,What are some restaurants close to Go Muc homestay?, ",,0,,0,,505,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23429863-Reviews-Go_Muc_homestay-Da_Lat_Lam_Dong_Province.html
"22 Hung Vuong Phuong 10,  670000 Vietnam",12,65,,,Homestay Kien Dai Viet,,Vietnam,"Vietnam,,","Which popular attractions are close to Homestay Kien Dai Viet?, ,What are some restaurants close to Homestay Kien Dai Viet?, ",,0,,0,,44,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13494394-Reviews-Homestay_Kien_Dai_Viet-Da_Lat_Lam_Dong_Province.html
"56 Duong To Ngoc Van Phuong 1,  Vietnam",22,89,,,Khach San Bao Khanh,,Vietnam,"Vietnam,,","Which popular attractions are close to Khach San Bao Khanh?, ,What are some restaurants close to Khach San Bao Khanh?, ,Is Khach San Bao Khanh located near the city center?, ",,0,,0,,118,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21373362-Reviews-Khach_San_Bao_Khanh-Da_Lat_Lam_Dong_Province.html
"10 Khe Sanh,  Vietnam",10,59,,,HT farmstay,,Vietnam,"Vietnam,,","Which popular attractions are close to HT farmstay?, ,What are some restaurants close to HT farmstay?, ",,0,,0,,48,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d17633086-Reviews-HT_farmstay-Da_Lat_Lam_Dong_Province.html
,0,0,,,Hotel Tan Phuoc,,Vietnam,"Vietnam,,",,,0,,0,,0,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d19728090-Reviews-Hotel_Tan_Phuoc-Da_Lat_Lam_Dong_Province.html
"22 Suong Nguyet Anh,  Vietnam",8,90,,,Pacamara Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Pacamara Hotel?, ,What are some of the property amenities at Pacamara Hotel?, ,Is parking available at Pacamara Hotel?, ,What are some restaurants close to Pacamara Hotel?, ,Is Pacamara Hotel located near the city center?, ,Are pets allowed at Pacamara Hotel?, ",,0,,0,,93,,10,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13288760-Reviews-Pacamara_Hotel-Da_Lat_Lam_Dong_Province.html
"6/1 Le Thanh Ton Ward 6,  670000 Vietnam",37,72,,,July Homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to July Homestay?, ,What are some of the property amenities at July Homestay?, ,Is parking available at July Homestay?, ,What are some restaurants close to July Homestay?, ,Is July Homestay located near the city center?, ,Are pets allowed at July Homestay?, ",,0,,0,,207,,3,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d19458270-Reviews-July_Homestay-Da_Lat_Lam_Dong_Province.html
"95 Dong Tam,  Vietnam",2,69,,,Ngo Homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to Ngo Homestay?, ,What are some restaurants close to Ngo Homestay?, ",,0,,0,,13,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21373298-Reviews-Ngo_Homestay-Da_Lat_Lam_Dong_Province.html
"26C Yersin, Ward 10,  Vietnam",26,91,,,Ngoc Bich Guesthouse,,Vietnam,"Vietnam,,","Which popular attractions are close to Ngoc Bich Guesthouse?, ,What are some restaurants close to Ngoc Bich Guesthouse?, ,Is Ngoc Bich Guesthouse located near the city center?, ",,0,,0,3.0 of 5 bubbles,146,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d15062538-Reviews-Ngoc_Bich_Guesthouse-Da_Lat_Lam_Dong_Province.html
"28 Ho Tung Mau,  Vietnam",19,71,,,Anh Diep,,Vietnam,"Vietnam,,","Which popular attractions are close to Anh Diep?, ,What are some restaurants close to Anh Diep?, ,Is Anh Diep located near the city center?, ",,0,,0,,153,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d17668641-Reviews-Anh_Diep-Da_Lat_Lam_Dong_Province.html
"26/4 Nguyen Van Troi,  Vietnam",4,67,,,Lan Rung 2 Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Lan Rung 2 Hotel?, ,What are some restaurants close to Lan Rung 2 Hotel?, ",,0,,0,,18,,8,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d9754170-Reviews-Lan_Rung_2_Hotel-Da_Lat_Lam_Dong_Province.html
,0,0,,,Hotel Ha Thu,,Vietnam,"Vietnam,,",,,0,,0,,0,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23519690-Reviews-Hotel_Ha_Thu-Da_Lat_Lam_Dong_Province.html
"11A/2 Le Quy Don St, Ward 5,  Vietnam",12,90,,,Phuong Trang Guest House,,Vietnam,"Vietnam,,","Which popular attractions are close to Phuong Trang Guest House?, ,What are some restaurants close to Phuong Trang Guest House?, ,Is Phuong Trang Guest House located near the city center?, ",,0,,0,,84,,20,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d3199107-Reviews-Phuong_Trang_Guest_House-Da_Lat_Lam_Dong_Province.html
"6 Nguyen Dinh Chieu,  Vietnam",10,60,,, Victory Villas,,Vietnam,"Vietnam,,","Which popular attractions are close to  Victory Villas?, ,What are some restaurants close to  Victory Villas?, ",,0,,0,,42,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d7170671-Reviews-Da_Lat_Victory_Villas-Da_Lat_Lam_Dong_Province.html
,0,0,,,Dalat Warmest Homestay,,Vietnam,"Vietnam,,",,,0,,0,2.0 of 5 bubbles,0,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d15062437-Reviews-Dalat_Warmest_Homestay-Da_Lat_Lam_Dong_Province.html
,0,0,,,Le Tuan Minh,,Vietnam,"Vietnam,,",,,0,,0,,0,,30,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d20920455-Reviews-Le_Tuan_Minh-Da_Lat_Lam_Dong_Province.html
"BL 45 KQH Dan Cu Yersin, phuong 9,  Vietnam",6,76,,,Dalat Mist,,Vietnam,"Vietnam,,","Which popular attractions are close to Dalat Mist?, ,What are some restaurants close to Dalat Mist?, ",,0,,0,,20,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23373662-Reviews-Dalat_Mist-Da_Lat_Lam_Dong_Province.html
"10/2 Lu Gia, Ward 9,  670000 Vietnam",6,54,,,Madam Nga's House,,Vietnam,"Vietnam,,","Which popular attractions are close to Madam Nga's House?, ,What are some restaurants close to Madam Nga's House?, ",,0,,0,,33,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21373224-Reviews-Madam_Nga_s_House-Da_Lat_Lam_Dong_Province.html
"Tran Dai Nghia,  Vietnam",91,43,,,N'GEM Villa,,Vietnam,"Vietnam,,","Which popular attractions are close to N'GEM Villa?, ,What are some restaurants close to N'GEM Villa?, ",,0,,0,,509,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23180900-Reviews-N_GEM_Villa-Da_Lat_Lam_Dong_Province.html
"3/28 Dao Duy Tu,  67000 Vietnam",4,77,,,Uyen Thanh 2 Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Uyen Thanh 2 Hotel?, ,What are some restaurants close to Uyen Thanh 2 Hotel?, ,Is Uyen Thanh 2 Hotel located near the city center?, ",,0,,0,,27,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21073671-Reviews-Uyen_Thanh_2_Hotel-Da_Lat_Lam_Dong_Province.html
"9 To Hien Thanh,  Vietnam",4,55,,,Reddoorz near Phuong Trang Bus Station,,Vietnam,"Vietnam,,","Which popular attractions are close to Reddoorz near Phuong Trang Bus Station?, ,What are some restaurants close to Reddoorz near Phuong Trang Bus Station?, ",,0,,0,,37,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23335125-Reviews-Reddoorz_near_Phuong_Trang_Bus_Station-Da_Lat_Lam_Dong_Province.html
,0,0,,,Khach San Bach An Lac,,Vietnam,"Vietnam,,",,,0,,0,,0,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23236888-Reviews-Khach_San_Bach_An_Lac-Da_Lat_Lam_Dong_Province.html
"20 Duong 3/4,  Vietnam",6,62,,,Thoai Chau Guesthouse,,Vietnam,"Vietnam,,","Which popular attractions are close to Thoai Chau Guesthouse?, ,What are some restaurants close to Thoai Chau Guesthouse?, ",,0,,0,,64,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23236886-Reviews-Thoai_Chau_Guesthouse-Da_Lat_Lam_Dong_Province.html
"42 Phan Dinh Phung,  Vietnam",28,89,,"English, Vietnamese",Thanh Cong,,Vietnam,"Vietnam,,","Which popular attractions are close to Thanh Cong?, ,What are some of the property amenities at Thanh Cong?, ,Is parking available at Thanh Cong?, ,What are some restaurants close to Thanh Cong?, ,Does Thanh Cong have airport transportation?, ,Is Thanh Cong located near the city center?, ,Which languages are spoken by the staff at Thanh Cong?, ",,0,,0,,144,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12748834-Reviews-Thanh_Cong-Da_Lat_Lam_Dong_Province.html
"40 Phu Dong Thien Vuong,  Vietnam",2,55,,,Hua Ha Guesthouse,,Vietnam,"Vietnam,,","Which popular attractions are close to Hua Ha Guesthouse?, ,What are some restaurants close to Hua Ha Guesthouse?, ",,0,,0,,28,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d9793613-Reviews-Hua_Ha_Guesthouse-Da_Lat_Lam_Dong_Province.html
,0,0,,,Dau Farmstay,,Vietnam,"Vietnam,,",,,0,,0,,0,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d20224753-Reviews-Dau_Farmstay-Da_Lat_Lam_Dong_Province.html
,0,0,,,Vy's House,,Vietnam,"Vietnam,,",,,0,,0,,0,,5,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21296081-Reviews-Vy_s_House-Da_Lat_Lam_Dong_Province.html
"39 Ly Nam De,  Vietnam",2,52,,,Paradise House,,Vietnam,"Vietnam,,","Which popular attractions are close to Paradise House?, ,What are some restaurants close to Paradise House?, ",,0,,0,,40,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23237766-Reviews-Paradise_House-Da_Lat_Lam_Dong_Province.html
"245/17 Ngo Tat To, Ward 8,  Vietnam",4,68,,"English, Vietnamese",Paradise Homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to Paradise Homestay?, ,What are some of the property amenities at Paradise Homestay?, ,What are some restaurants close to Paradise Homestay?, ,Is Paradise Homestay located near the city center?, ,Which languages are spoken by the staff at Paradise Homestay?, ",,0,,0,,20,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12634071-Reviews-Paradise_Homestay-Da_Lat_Lam_Dong_Province.html
"Du_ng Tr_n Phu,  Vietnam",1,79,,,Biker's House - ,,Vietnam,"Vietnam,,","Which popular attractions are close to Biker's House - ?, ,What are some restaurants close to Biker's House - ?, ,Is Biker's House -  located near the city center?, ",,0,,0,,26,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23391943-Reviews-Biker_s_House_DA_LAT-Da_Lat_Lam_Dong_Province.html
"17 Bis D_ng Thai Than, Phu_ng 3,  Vietnam",5,54,,,Chill House 5,,Vietnam,"Vietnam,,","Which popular attractions are close to Chill House 5?, ,What are some restaurants close to Chill House 5?, ",,0,,0,,46,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23340541-Reviews-Chill_House_5-Da_Lat_Lam_Dong_Province.html
"268/10 Phan Dinh Phung,  Vietnam",5,83,,,Dalat Smile,,Vietnam,"Vietnam,,","Which popular attractions are close to Dalat Smile?, ,What are some restaurants close to Dalat Smile?, ,Is Dalat Smile located near the city center?, ",,0,,0,,43,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d10795963-Reviews-Dalat_Smile-Da_Lat_Lam_Dong_Province.html
"11 Mai Hac De Street Ward 6,  Vietnam",25,89,,,Guesthouse Thanh Phuong,,Vietnam,"Vietnam,,","Which popular attractions are close to Guesthouse Thanh Phuong?, ,What are some restaurants close to Guesthouse Thanh Phuong?, ,Is Guesthouse Thanh Phuong located near the city center?, ",,0,,0,,125,,11,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d15088859-Reviews-Guesthouse_Thanh_Phuong-Da_Lat_Lam_Dong_Province.html
"163 Duong Bui Thi Xuan,  Vietnam",5,84,,,Aki Hostel,,Vietnam,"Vietnam,,","Which popular attractions are close to Aki Hostel?, ,What are some restaurants close to Aki Hostel?, ,Is Aki Hostel located near the city center?, ",,0,,0,,63,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21502509-Reviews-Aki_Hostel-Da_Lat_Lam_Dong_Province.html
"66 An Binh,  Vietnam",25,89,,"English, Vietnamese",An Binh Homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to An Binh Homestay?, ,Is parking available at An Binh Homestay?, ,What are some restaurants close to An Binh Homestay?, ,Is An Binh Homestay located near the city center?, ,Are pets allowed at An Binh Homestay?, ,Which languages are spoken by the staff at An Binh Homestay?, ",,0,,0,,128,,5,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12929614-Reviews-An_Binh_Homestay-Da_Lat_Lam_Dong_Province.html
"29/1 Phu Dong Thien Vuong,  Vietnam",2,48,,Vietnamese,La Homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to La Homestay?, ,What are some of the property amenities at La Homestay?, ,Is parking available at La Homestay?, ,What are some restaurants close to La Homestay?, ",,0,,0,,19,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12698316-Reviews-La_Homestay-Da_Lat_Lam_Dong_Province.html
"114 Hai Ba Trung,  670000 Vietnam",3,75,,,Hotel Lam Anh,,Vietnam,"Vietnam,,","Which popular attractions are close to Hotel Lam Anh?, ,What are some of the property amenities at Hotel Lam Anh?, ,What food & drink options are available at Hotel Lam Anh?, ,Is parking available at Hotel Lam Anh?, ,What are some restaurants close to Hotel Lam Anh?, ,Does Hotel Lam Anh have an airport shuttle?, ,Does Hotel Lam Anh have airport transportation?, ,Is Hotel Lam Anh located near the city center?, ,Are there any historical sites close to Hotel Lam Anh?, ",,0,,0,,24,,15,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21039010-Reviews-Hotel_Lam_Anh-Da_Lat_Lam_Dong_Province.html
"117 Bui Thi Xuan,  Vietnam",11,66,,English,Quynh An Villa,,Vietnam,"Vietnam,,","Which popular attractions are close to Quynh An Villa?, ,What are some restaurants close to Quynh An Villa?, ,Is Quynh An Villa located near the city center?, ,Are any cleaning services offered at Quynh An Villa?, ",,0,,0,,128,,12,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d8687249-Reviews-Quynh_An_Villa-Da_Lat_Lam_Dong_Province.html
"5B - 5C Hoang Hoa Tham Ward 10,  670000 Vietnam",10,62,,,Pasteur Villas,,Vietnam,"Vietnam,,","Which popular attractions are close to Pasteur Villas?, ,What are some of the property amenities at Pasteur Villas?, ,What food & drink options are available at Pasteur Villas?, ,Is parking available at Pasteur Villas?, ,What are some restaurants close to Pasteur Villas?, ,Does Pasteur Villas have airport transportation?, ,Are there any historical sites close to Pasteur Villas?, ",,0,,0,,36,,15,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d15023768-Reviews-Pasteur_Villas-Da_Lat_Lam_Dong_Province.html
"23 Bis, Hai Ba Trung Street, Ward 6,  Vietnam",23,89,,,Quang Chien Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Quang Chien Hotel?, ,What are some restaurants close to Quang Chien Hotel?, ,Is Quang Chien Hotel located near the city center?, ",,0,,0,,98,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d4458579-Reviews-Quang_Chien_Hotel-Da_Lat_Lam_Dong_Province.html
"108 Nguy_n Th_ Nghia,  Vietnam",4,79,,,Khach S?n Dinh Nguyen ,,Vietnam,"Vietnam,,","Which popular attractions are close to Khách S?n ?ình Nguyên ?, ,What are some restaurants close to Khách S?n ?ình Nguyên ?, ,Is Khách S?n ?ình Nguyên  located near the city center?, ",,0,,0,,30,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21415219-Reviews-Khach_S_n_Dinh_Nguyen_Da_Lat-Da_Lat_Lam_Dong_Province.html
"63 An Duong Vuong Ward 2,  670000 Vietnam",4,78,,"English, Vietnamese",Dalat Color Hostel,,Vietnam,"Vietnam,,","Which popular attractions are close to Dalat Color Hostel?, ,What are some of the property amenities at Dalat Color Hostel?, ,Which room amenities are available at Dalat Color Hostel?, ,What food & drink options are available at Dalat Color Hostel?, ,Is parking available at Dalat Color Hostel?, ,What are some restaurants close to Dalat Color Hostel?, ,Is Dalat Color Hostel located near the city center?, ,Which languages are spoken by the staff at Dalat Color Hostel?, ",,0,,0,,33,,63,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12620256-Reviews-Dalat_Color_Hostel-Da_Lat_Lam_Dong_Province.html
"133 Bui Thi Xuan,  Vietnam",5,83,,Vietnamese,Son Hai Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Son Hai Hotel?, ,What are some restaurants close to Son Hai Hotel?, ,Is Son Hai Hotel located near the city center?, ",,0,,0,,68,,9,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d8687246-Reviews-Son_Hai_Hotel-Da_Lat_Lam_Dong_Province.html
"2/3 Tran Quy Cap phuong 9,  Vietnam",10,62,,,Malaika Homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to Malaika Homestay?, ,What are some restaurants close to Malaika Homestay?, ",,0,,0,,41,,5,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13879829-Reviews-Malaika_Homestay-Da_Lat_Lam_Dong_Province.html
"21Bis/1A Tran Phu,  Vietnam",6,82,,Vietnamese,Thu Huong,,Vietnam,"Vietnam,,","Which popular attractions are close to Thu Huong?, ,What are some of the property amenities at Thu Huong?, ,Is parking available at Thu Huong?, ,What are some restaurants close to Thu Huong?, ,Is Thu Huong located near the city center?, ",,0,,0,,47,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12440276-Reviews-Thu_Huong-Da_Lat_Lam_Dong_Province.html
"F10 M_c Dinh Chi, Phu_ng 4,  Vietnam",6,79,,,Oxy House Dalat,,Vietnam,"Vietnam,,","Which popular attractions are close to Oxy House Dalat?, ,What are some restaurants close to Oxy House Dalat?, ,Is Oxy House Dalat located near the city center?, ",,0,,0,,32,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23416774-Reviews-Oxy_House_Dalat-Da_Lat_Lam_Dong_Province.html
"166 Hai Ba Trung, Phuong 6,  670000 Vietnam",5,80,,,OYO 827 Bach Duong Hotel,,Bach Duong Hotel,"Bach Duong Hotel,Vietnam,","Which popular attractions are close to OYO 827 Bach Duong Hotel?, ,What are some restaurants close to OYO 827 Bach Duong Hotel?, ,Is OYO 827 Bach Duong Hotel located near the city center?, ",,0,,0,,31,,7,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d20319176-Reviews-OYO_827_Bach_Duong_Hotel-Da_Lat_Lam_Dong_Province.html
"28/9 Le Hong Phong,  Vietnam",5,74,,"English, Vietnamese",Homestay Chu An,,Vietnam,"Vietnam,,","Which popular attractions are close to Homestay Chu An?, ,What are some of the property amenities at Homestay Chu An?, ,Is parking available at Homestay Chu An?, ,What are some restaurants close to Homestay Chu An?, ,Is Homestay Chu An located near the city center?, ,Are pets allowed at Homestay Chu An?, ,Which languages are spoken by the staff at Homestay Chu An?, ",,0,,0,,32,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12954379-Reviews-Homestay_Chu_An-Da_Lat_Lam_Dong_Province.html
"27/20 Phu Dong Thien Vuong Phung 8,  671656 Vietnam",9,63,18,,Le Alpi-,,Vietnam,"Vietnam,,","Which popular attractions are close to Le Alpi-?, ,What are some restaurants close to Le Alpi-?, ,Is Le Alpi- located near the city center?, ",10,0,,0,,54,,,,7,https://www.tripadvisor.com/Hotel_Review-g293922-d21176606-Reviews-Le_Alpi_da_Lat-Da_Lat_Lam_Dong_Province.html
,0,0,,,Shalala Homestay ,,Vietnam,"Vietnam,,",,,0,,0,,0,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23519522-Reviews-Shalala_Homestay_Da_Lat-Da_Lat_Lam_Dong_Province.html
"44 Phan Nhu Thach,  Vietnam",27,89,,"English, Vietnamese",Binh Minh Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Binh Minh Hotel?, ,What are some of the property amenities at Binh Minh Hotel?, ,Is parking available at Binh Minh Hotel?, ,What are some restaurants close to Binh Minh Hotel?, ,Does Binh Minh Hotel have airport transportation?, ,Is Binh Minh Hotel located near the city center?, ,Which languages are spoken by the staff at Binh Minh Hotel?, ",,0,,0,,138,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12800118-Reviews-Binh_Minh_Hotel-Da_Lat_Lam_Dong_Province.html
"238 To Hien Thanh Street,  Vietnam",5,53,,Vietnamese,Phu My Guesthouse,,Vietnam,"Vietnam,,","Which popular attractions are close to Phu My Guesthouse?, ,What are some of the property amenities at Phu My Guesthouse?, ,What food & drink options are available at Phu My Guesthouse?, ,Is parking available at Phu My Guesthouse?, ,What are some restaurants close to Phu My Guesthouse?, ,Does Phu My Guesthouse have airport transportation?, ,Are pets allowed at Phu My Guesthouse?, ",,0,,0,,42,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12902951-Reviews-Phu_My_Guesthouse-Da_Lat_Lam_Dong_Province.html
"Lo B5-B6, Duongg 3 Thang 2,  Vietnam",7,88,,,Khach San Y Lan,,Vietnam,"Vietnam,,","Which popular attractions are close to Khach San Y Lan?, ,What are some restaurants close to Khach San Y Lan?, ,Is Khach San Y Lan located near the city center?, ",,0,,0,,80,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d17758785-Reviews-Khach_San_Y_Lan-Da_Lat_Lam_Dong_Province.html
"54 Nguyen An Ninh,  Vietnam",11,59,,"English, Vietnamese",Homestay Coffee Soul,,Vietnam,"Vietnam,,","Which popular attractions are close to Homestay Coffee Soul?, ,What are some of the property amenities at Homestay Coffee Soul?, ,What food & drink options are available at Homestay Coffee Soul?, ,Is parking available at Homestay Coffee Soul?, ,What are some restaurants close to Homestay Coffee Soul?, ,Does Homestay Coffee Soul have airport transportation?, ,Is Homestay Coffee Soul located near the city center?, ,Are pets allowed at Homestay Coffee Soul?, ,Which languages are spoken by the staff at Homestay Coffee Soul?, ",,0,,0,,74,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12671390-Reviews-Homestay_Coffee_Soul-Da_Lat_Lam_Dong_Province.html
"73/1a Phan Chu Trinh P9,  Vietnam",4,50,,,Villa Vuong Khang,,Vietnam,"Vietnam,,","Which popular attractions are close to Villa V??ng Khang?, ,What are some restaurants close to Villa V??ng Khang?, ",,0,,0,,28,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21398771-Reviews-Villa_Vuong_Khang-Da_Lat_Lam_Dong_Province.html
"29 Thien Thanh Phuong 4,  Vietnam",4,81,,,Trang Bong Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Trang Bong Hotel?, ,What are some restaurants close to Trang Bong Hotel?, ,Is Trang Bong Hotel located near the city center?, ",,0,,0,,47,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d17620023-Reviews-Trang_Bong_Hotel-Da_Lat_Lam_Dong_Province.html
"Tuyen Lam Lake, Duong Ham Dieu Khac Area, Ward 4,  670000 Vietnam",0,0,1,,Happy Star Villa Dalat,,Vietnam,"Vietnam,,","Which popular attractions are close to Happy Star Villa Dalat?, ,What are some of the property amenities at Happy Star Villa Dalat?, ,What food & drink options are available at Happy Star Villa Dalat?, ,Is parking available at Happy Star Villa Dalat?, ,What are some restaurants close to Happy Star Villa Dalat?, ,Are there opportunities to exercise at Happy Star Villa Dalat?, ",4,0,,0,,0,,14,,1,https://www.tripadvisor.com/Hotel_Review-g293922-d17426999-Reviews-Happy_Star_Villa_Dalat-Da_Lat_Lam_Dong_Province.html
"132 Du_ng V_n H_nh,  Vietnam",2,51,,,Youth x FM Homestay,,Vietnam,"Vietnam,,","Which popular attractions are close to Youth x FM Homestay?, ,What are some restaurants close to Youth x FM Homestay?, ",,0,,0,,21,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d23425442-Reviews-Youth_x_FM_Homestay-Da_Lat_Lam_Dong_Province.html
"22 Suong Nguyet Anh,  Vietnam",22,90,,"English, Spanish",Nha Nghi Kim Chi,,Vietnam,"Vietnam,,","Which popular attractions are close to Nha Nghi Kim Chi?, ,What are some restaurants close to Nha Nghi Kim Chi?, ,Is Nha Nghi Kim Chi located near the city center?, ,Which languages are spoken by the staff at Nha Nghi Kim Chi?, ",,0,,0,,122,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d13005506-Reviews-Nha_Nghi_Kim_Chi-Da_Lat_Lam_Dong_Province.html
"Hem 7 Ly Nam De, Phuong 8,  66000 Vietnam",10,64,,,Len Non - Nha Ben Vuon,,Vietnam,"Vietnam,,","Which popular attractions are close to Len Non - Nha Ben Vuon?, ,What are some restaurants close to Len Non - Nha Ben Vuon?, ,Is Len Non - Nha Ben Vuon located near the city center?, ",,0,,0,,68,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d21347122-Reviews-Len_Non_Nha_Ben_Vuon-Da_Lat_Lam_Dong_Province.html
"92 To Ngoc Van,  Vietnam",6,82,,,Elohim's House,,Vietnam,"Vietnam,,","Which popular attractions are close to Elohim's House?, ,What are some restaurants close to Elohim's House?, ,Is Elohim's House located near the city center?, ",,0,,0,,42,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d19419209-Reviews-Elohim_s_House-Da_Lat_Lam_Dong_Province.html
"106 Duong 3 Thang 2 Phuong 1,  Vietnam",14,89,,,Kien Kien,,Vietnam,"Vietnam,,","Which popular attractions are close to Kien Kien?, ,What are some restaurants close to Kien Kien?, ,Is Kien Kien located near the city center?, ",,0,,0,,105,,,,0,https://www.tripadvisor.com/Hotel_Review-g293922-d17632535-Reviews-Kien_Kien-Da_Lat_Lam_Dong_Province.html
